"papers_name","papers_url","papers_autor","papers_periodo"
"Caracteres agronómicos afectados por la aparición de Steneotarsonemus spinki en arroz en Cuba","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5859","Miranda Cabrera, I.; Fernández, A.; Solórzano, E.; Hernández, J.L.","2005"
"Depredación por hormigas sobre la broca del café Hypothenemus hampei (Curculionidae: Scolytinae) en cafetales cultivados bajo dos niveles de sombra en Colombia","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6018","Gallego Ropero, M.C.; Armbrecht, I.","2005"
"Karl Hoffmann: un naturalista en tiempos turbulentos","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6438","Hilje Quirós, Luko","2006"
"Biología e importancia económica de Spongospora subterranea f.sp. subterranea, agente causal de la sarna polvorienta o roña de la papa","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5828","Montero Astúa, M.; Rivera, C.","2005"
"Alexander Skutch: ¿El último gran naturalista?","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5755","Hilje Quirós, Luko","2004"
"Manejo de la mosca blanca en el cultivo de la vid","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6536","Haji, F.N.P.; Moreira, A.N.; Bleicher, E.; Ferreira, R.C.F.; Alencar, J.A. de","2004"
"Identificación de un nuevo begomovirus en melón (Cucumis melo L.) en Lara, Venezuela","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6361","Ramírez, P.; Chicas, M.; Salas, J.; Maxwell, D.; Karkashian, J.","2004"
"Factores que afectan la abundancia poblacional de Helicoverpa (heliothis) virescens en tabacco en el noroeste argentino","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6312","Delgado, H.A.; Fedre, D.","2003"
"Malla de polipropileno para prevenir los daños del virus de la mancha anular en semilleros de papayo (Carica papaya L.) cv. Maradol roja","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6528","Hernández Castro, E.; Marín Lara, N.E.D.; Villanueva Jiménez, J.A.","2005"
"Comparación del contenido de nutrientes de bokashis elaborados con desechos de fincas del trópico húmedo de Costa Rica","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5916","Leblanc, H.A.; Cerrato, M.E.; Vélex, L.A.","2005"
